"feature_of_interest_cv_num","feature_of_interest_cv_name","feature_of_interest_description"
356,"SIERRA NEGRA","GEOGRAPH_LOC"
357,"ANIAKCHAK","GEOGRAPH_LOC"
358,"FAIAL","GEOGRAPH_LOC"
359,"SAO JORGE","GEOGRAPH_LOC"
360,"VESUVIUS","GEOGRAPH_LOC"
361,"TAJIKISTAN","GEOGRAPH_LOC"
362,"JERVIS","GEOGRAPH_LOC"
363,"CULPEPPER","GEOGRAPH_LOC"
364,"WAJRAKARUR","GEOGRAPH_LOC"
365,"KOCADAG, CAPADOCIA","GEOGRAPH_LOC"
366,"IZU-BONIN ARC","GEOGRAPH_LOC"
367,"MIYAKEJIMA","GEOGRAPH_LOC"
368,"KAMAKA","GEOGRAPH_LOC"
369,"CROUGH","GEOGRAPH_LOC"
370,"SEAMOUNT 1","GEOGRAPH_LOC"
371,"SEAMOUNT 2","GEOGRAPH_LOC"
372,"NEW GUINEA","GEOGRAPH_LOC"
373,"SOUTH KOREA","GEOGRAPH_LOC"
374,"TARIM BLOCK","GEOGRAPH_LOC"
375,"HUALALAI","GEOGRAPH_LOC"
376,"IBERIAN VARISCAN","GEOGRAPH_LOC"
377,"HERCYNIAN","GEOGRAPH_LOC"
378,"BULDIR","GEOGRAPH_LOC"
379,"PENGLAI","GEOGRAPH_LOC"
380,"SHORTLAND","GEOGRAPH_LOC"
381,"ABINGDON","GEOGRAPH_LOC"
382,"NAMELESS ROCK","GEOGRAPH_LOC"
383,"SIGURDFJELL","GEOGRAPH_LOC"
384,"3432-7","GEOGRAPH_LOC"
385,"REDOUBT","GEOGRAPH_LOC"
386,"PORTUGAL","GEOGRAPH_LOC"
387,"SAINT VINCENT AND THE GRENADINES","GEOGRAPH_LOC"
388,"MONTSERRAT","GEOGRAPH_LOC"
389,"NEVADO","GEOGRAPH_LOC"
390,"PAYENIA","GEOGRAPH_LOC"
391,"AGATTU","GEOGRAPH_LOC"
392,"STARFISH","GEOGRAPH_LOC"
393,"RAPA NUI","GEOGRAPH_LOC"
394,"ZAVODOVSKI","GEOGRAPH_LOC"
395,"PAKUSHIN","GEOGRAPH_LOC"
396,"UPPER HELLS GATE","GEOGRAPH_LOC"
397,"SHILA","GEOGRAPH_LOC"
398,"ZUNI-BANDERA","GEOGRAPH_LOC"
399,"BANDERA","GEOGRAPH_LOC"
400,"NIUTOUSHAN","GEOGRAPH_LOC"
401,"LUZON-TAIWAN","GEOGRAPH_LOC"
402,"MEGATA","GEOGRAPH_LOC"
403,"TIELING","GEOGRAPH_LOC"
404,"WESSELTON KIMBERLITE","GEOGRAPH_LOC"
405,"UNITED KINGDOM","GEOGRAPH_LOC"
406,"LIMPOPO","GEOGRAPH_LOC"
407,"N-KUUSAMO","GEOGRAPH_LOC"
408,"NASHVILLE","GEOGRAPH_LOC"
409,"KAROO-FERRAR","GEOGRAPH_LOC"
410,"FRANK SMITH PIPE","GEOGRAPH_LOC"
411,"SAL","GEOGRAPH_LOC"
412,"SABZEVAR","GEOGRAPH_LOC"
413,"MULL","GEOGRAPH_LOC"
414,"CORIOLIS TROUGH","GEOGRAPH_LOC"
415,"SASHA","GEOGRAPH_LOC"
416,"BOUVET","GEOGRAPH_LOC"
417,"CHILE RIDGE","GEOGRAPH_LOC"
418,"PEGGY RIDGE","GEOGRAPH_LOC"
419,"BRAZIL","GEOGRAPH_LOC"
420,"OSBOURN","GEOGRAPH_LOC"
421,"ROMANCHE","GEOGRAPH_LOC"
422,"CHAIN","GEOGRAPH_LOC"
423,"OKINAWA TROUGH","GEOGRAPH_LOC"
424,"DOLDRUMS","GEOGRAPH_LOC"
425,"CHILEAN","GEOGRAPH_LOC"
426,"MARATHON","GEOGRAPH_LOC"
427,"LOUISVILLE 36","GEOGRAPH_LOC"
428,"BROWN BEAR","GEOGRAPH_LOC"
429,"EAST SCOTIA RIDGE","GEOGRAPH_LOC"
430,"LOUISVILLE 40","GEOGRAPH_LOC"
431,"GULF OF TADJOURA","GEOGRAPH_LOC"
432,"HAYES","GEOGRAPH_LOC"
433,"EASTER MICROPLATE RIFTS","GEOGRAPH_LOC"
434,"BLANCO TROUGH","GEOGRAPH_LOC"
435,"MATHEMATICIANS","GEOGRAPH_LOC"
436,"CONFEDERATION PEAK","GEOGRAPH_LOC"
437,"SOUTHWEST","GEOGRAPH_LOC"
438,"GREEN","GEOGRAPH_LOC"
439,"FRACTURE ZONE B","GEOGRAPH_LOC"
440,"HUATUNG","GEOGRAPH_LOC"
441,"IZU-BONIN-MARIANA","GEOGRAPH_LOC"
442,"CREST","GEOGRAPH_LOC"
443,"MILLER","GEOGRAPH_LOC"
444,"MOZAMBIQUE BASIN","GEOGRAPH_LOC"
445,"ISLA TORTUGA","GEOGRAPH_LOC"
446,"SOMALI","GEOGRAPH_LOC"
447,"COCOS RIDGE","GEOGRAPH_LOC"
448,"COCOS","GEOGRAPH_LOC"
449,"AUSTRAL","GEOGRAPH_LOC"
450,"MWUADI KIMBERLITE","GEOGRAPH_LOC"
451,"GRATTAN","GEOGRAPH_LOC"
452,"HEALY","GEOGRAPH_LOC"
453,"SHATSKY RISE","GEOGRAPH_LOC"
454,"HATTORI KNOLL","GEOGRAPH_LOC"
455,"INNER MONGOLIAN","GEOGRAPH_LOC"
456,"DISH HILL","GEOGRAPH_LOC"
457,"TACANA","GEOGRAPH_LOC"
458,"EL SALVADOR","GEOGRAPH_LOC"
459,"BONANZA MINE","GEOGRAPH_LOC"
460,"CERRO CHOPO","GEOGRAPH_LOC"
461,"RIO PACUARE","GEOGRAPH_LOC"
462,"CHIQUIMULA","GEOGRAPH_LOC"
463,"LITTLE SITKIN","GEOGRAPH_LOC"
464,"AUCKLAND","GEOGRAPH_LOC"
465,"POLAND","GEOGRAPH_LOC"
466,"MEDICINE LAKE","GEOGRAPH_LOC"
467,"KRAKATAU","GEOGRAPH_LOC"
468,"YELLOWSTONE","GEOGRAPH_LOC"
469,"NE BULLARD","GEOGRAPH_LOC"
470,"SOUTH OF RURU CHAIN","GEOGRAPH_LOC"
471,"BIBIARIKI CHAIN","GEOGRAPH_LOC"
472,"SINO-KOREA","GEOGRAPH_LOC"
473,"BOLTZMANN","GEOGRAPH_LOC"
474,"BECQUEREL","GEOGRAPH_LOC"
475,"OHM","GEOGRAPH_LOC"
476,"CANADIAN","GEOGRAPH_LOC"
477,"SAN LUIS POTOSI","GEOGRAPH_LOC"
478,"MAKUSHIN","GEOGRAPH_LOC"
479,"UNALASKA","GEOGRAPH_LOC"
480,"SHISHALDIN","GEOGRAPH_LOC"
481,"NORTH GORDA ","GEOGRAPH_LOC"
482,"BUFFON","GEOGRAPH_LOC"
483,"VULCANO","GEOGRAPH_LOC"
484,"CENTRAL ANDEAN","GEOGRAPH_LOC"
485,"BOSEI","GEOGRAPH_LOC"
486,"BULTFONTEIN","GEOGRAPH_LOC"
487,"TAIPAKA CHAIN","GEOGRAPH_LOC"
488,"RAPA","GEOGRAPH_LOC"
489,"RUMBLE IV","GEOGRAPH_LOC"
490,"TOSHIMA","GEOGRAPH_LOC"
491,"CHAMORRO","GEOGRAPH_LOC"
492,"CHEREF","GEOGRAPH_LOC"
493,"60E","GEOGRAPH_LOC"
494,"PARTIDA ISLAND","GEOGRAPH_LOC"
495,"GILL","GEOGRAPH_LOC"
496,"CURTIS","GEOGRAPH_LOC"
497,"CLARK","GEOGRAPH_LOC"
498,"K-TRIG","GEOGRAPH_LOC"
499,"REUNION","GEOGRAPH_LOC"
500,"CORSICA","GEOGRAPH_LOC"
501,"DAIMAO","GEOGRAPH_LOC"
502,"KRINGEL","GEOGRAPH_LOC"
503,"CONE 4","GEOGRAPH_LOC"
504,"AMBRYM","GEOGRAPH_LOC"
505,"SANTA FE","GEOGRAPH_LOC"
506,"BARTHOLOME","GEOGRAPH_LOC"
507,"KASATOCHI","GEOGRAPH_LOC"
508,"JUAN FERNANDEZ ISLANDS","GEOGRAPH_LOC"
509,"EL TIGRE","GEOGRAPH_LOC"
510,"SUMBAWA","GEOGRAPH_LOC"
511,"SOUFRIERE","GEOGRAPH_LOC"
512,"EQUATORIAL GUINEA","GEOGRAPH_LOC"
513,"NUNIVAK","GEOGRAPH_LOC"
514,"BETIC CORDILLERA","GEOGRAPH_LOC"
515,"SAUDI ARABIA","GEOGRAPH_LOC"
516,"KALAHARI","GEOGRAPH_LOC"
517,"GOBERNADOR GREGORES","GEOGRAPH_LOC"
518,"ARGYLE AK1","GEOGRAPH_LOC"
519,"TUBAF","GEOGRAPH_LOC"
520,"KENNADY","GEOGRAPH_LOC"
521,"MALAITA","GEOGRAPH_LOC"
